Time,Target,Measured,Error
551,20.00,15.47,4.53
552,20.00,20.26,-0.26
553,20.00,19.89,0.11
554,20.00,22.47,-2.47
555,20.00,21.74,-1.74
557,20.00,19.16,0.84
558,20.00,19.16,0.84
559,20.00,17.68,2.32
560,20.00,19.16,0.84
561,20.00,19.89,0.11
562,20.00,18.79,1.21
563,20.00,23.95,-3.95
564,20.00,21.74,-1.74
565,20.00,22.47,-2.47
566,20.00,21.37,-1.37
567,20.00,14.74,5.26
568,20.00,19.52,0.48
569,20.00,17.31,2.69
570,20.00,18.42,1.58
571,20.00,18.05,1.95
572,20.00,22.84,-2.84
573,20.00,24.68,-4.68
574,20.00,21.74,-1.74
575,20.00,22.84,-2.84
576,20.00,19.16,0.84
577,20.00,19.89,0.11
578,20.00,21.37,-1.37
579,20.00,17.68,2.32
580,20.00,21.74,-1.74
582,20.00,23.95,-3.95
583,20.00,23.95,-3.95
584,20.00,22.10,-2.10
585,20.00,21.00,-1.00
586,20.00,19.52,0.48
587,20.00,17.68,2.32
588,20.00,18.05,1.95
589,20.00,18.05,1.95
590,20.00,20.63,-0.63
591,20.00,23.95,-3.95
592,20.00,21.37,-1.37
593,20.00,22.47,-2.47
594,20.00,18.42,1.58
595,20.00,18.42,1.58
596,20.00,17.31,2.69
597,20.00,14.00,6.00
598,20.00,17.68,2.32
599,20.00,18.79,1.21
600,20.00,22.84,-2.84
601,20.00,21.74,-1.74
602,20.00,25.05,-5.05
603,20.00,23.21,-3.21
604,20.00,19.16,0.84
605,20.00,21.37,-1.37
606,20.00,19.52,0.48
608,20.00,19.52,0.48
609,20.00,20.26,-0.26
610,20.00,19.89,0.11
611,20.00,22.84,-2.84
612,20.00,20.63,-0.63
613,20.00,21.37,-1.37
614,20.00,18.05,1.95
615,20.00,18.79,1.21
616,20.00,18.79,1.21
617,20.00,16.95,3.05
618,20.00,17.31,2.69
619,20.00,18.79,1.21
620,20.00,22.84,-2.84
621,20.00,22.84,-2.84
622,20.00,17.68,2.32
623,20.00,20.26,-0.26
624,20.00,15.47,4.53
625,20.00,18.42,1.58
626,20.00,16.58,3.42
627,20.00,16.58,3.42
628,20.00,20.63,-0.63
629,20.00,20.63,-0.63
630,20.00,22.84,-2.84
631,20.00,21.37,-1.37
633,20.00,23.21,-3.21
634,20.00,20.26,-0.26
635,20.00,19.89,0.11
636,20.00,19.16,0.84
637,20.00,19.52,0.48
638,20.00,20.26,-0.26
639,20.00,22.84,-2.84
640,20.00,20.63,-0.63
641,20.00,22.84,-2.84
642,20.00,18.42,1.58
643,20.00,17.68,2.32
644,20.00,18.05,1.95
645,20.00,16.58,3.42
646,20.00,18.05,1.95
647,20.00,17.68,2.32
648,20.00,21.74,-1.74
649,20.00,21.00,-1.00
650,20.00,20.26,-0.26
651,20.00,19.16,0.84
652,20.00,15.10,4.90
653,20.00,15.84,4.16
654,20.00,12.53,7.47
655,20.00,18.05,1.95
656,20.00,16.58,3.42
657,20.00,23.21,-3.21
